Report Date:;09.06.2016 14:53:33
Report User Name:;datenlogger
Report Computer Name:;KWB97
Application:;WinSitu.exe
Application Version:;5.6.27.1


Log File Properties
File Name;Hotspot_Tiefwerder_2016-05-24_12-12-45-561.wsl
Create Date;24.05.2016 12:12:41

Device Properties
Device;Aqua TROLL 600 Non-Vented
Site;Tiefwerder_Schildhorn
Device Name; 
Serial Number;451423
Firmware Version;1.30
Hardware Version;3
Device Address;1
Device Comm Cfg;19200,8,Even,1,(Modbus-RTU)
Used Memory;0
Used Battery;6

Log Configuration
;Log Name;Hotspot_Tiefwerder
;Created By;datenlogger
;Computer Name;KWB97
;Application;WinSitu.exe
;Application Version;5.6.27.1
;Create Date;19.05.2016 13:04:07 Mitteleuropäische Zeit
;Log Setup Time Zone;Mitteleuropäische Sommerzeit
;Notes Size(bytes);4096
;Overwrite when full;Disabled
;Scheduled Start Time;20.05.2016 08:00:00 Mitteleuropäische Zeit
;Scheduled Stop Time;No Stop Time
;Type;Linear
 ;Interval;Days: 0 hrs: 00 mins: 10 secs: 00





Other Log Settings

;Specific Conductivity Model:;Standard Methods
;;Reference Temperature:;25
;;Temperature Coefficient:;0.0191

;TDS Factor:;0.65


Log Notes:
Date and Time;Note
19.05.2016 13:02:35;Used Battery: 6% Used Memory: 1%   User Name: datenlogger
22.05.2016 15:51:05;Device Reset
23.05.2016 09:51:23;Device Reset
23.05.2016 09:51:50;Device Reset
23.05.2016 15:34:08;Log Download - Used Battery: 48% Used Memory: 1%   User Name: datenlogger
23.05.2016 22:22:05;Device Reset
23.05.2016 22:24:41;Device Reset
23.05.2016 22:24:50;Device Reset
23.05.2016 22:24:59;Device Reset
23.05.2016 22:25:12;Device Reset
24.05.2016 12:10:10;Log Download - Used Battery: 57% Used Memory: 1%   User Name: datenlogger Interval -  Start Time: 23.05.2016 15:31:50


Log Data:
Record Count;124

Sensors;3

 ,1,442678,Conductivity

 ,2,447325,Rugged Dissolved Oxygen (RDO)

 ,3,446637,Turbidity

Time Zone: Mitteleuropäische Zeit

;;Sensor: Cond                            ;Sensor: Cond                            ;Sensor: Cond                            ;Sensor: Cond                            ;Sensor: Cond                            ;Sensor: Cond                            ;Sensor: RDO                             ;Sensor: RDO                             ;Sensor: Turb                            ;Sensor: Cond                            ;
;Elapsed Time;SN#: 442678                             ;SN#: 442678                             ;SN#: 442678                             ;SN#: 442678                             ;SN#: 442678                             ;SN#: 442678                             ;SN#: 447325                             ;SN#: 447325                             ;SN#: 446637                             ;SN#: 442678                             ;
Date and Time;Seconds     ;Temperature (C)                         ;Actual Conductivity (µS/cm)             ;Specific Conductivity (µS/cm)           ;Total Dissolved Solids (ppt)            ;Resistivity (ohm-cm)                    ;Water Density (g/cm3)                   ;Dissolved Oxygen (concentration) (mg/L) ;Dissolved Oxygen (%saturation) (%Sat)   ;Turbidity (NTU)                         ;Salinity (PSU)                          ;
23.05.2016 15:31:50;       0.000;                                  21.989;                                 850.124;                                 901.993;                                   0.586;                                1176.299;                                   0.998;                                   7.625;                                  85.414;                                   2.280;                                   0.449;
23.05.2016 15:41:50;     600.000;                                  21.958;                                 850.227;                                 902.682;                                   0.587;                                1176.156;                                   0.998;                                   7.760;                                  86.878;                                  27.350;                                   0.449;
23.05.2016 15:51:50;    1200.000;                                  22.020;                                 852.309;                                 903.728;                                   0.587;                                1173.284;                                   0.998;                                   7.757;                                  86.949;                                   6.956;                                   0.450;
23.05.2016 16:01:50;    1800.000;                                  22.240;                                 855.438;                                 903.051;                                   0.587;                                1168.992;                                   0.998;                                   8.073;                                  90.873;                                  23.021;                                   0.449;
23.05.2016 16:11:50;    2400.000;                                  22.323;                                 856.954;                                 903.168;                                   0.587;                                1166.924;                                   0.998;                                   8.248;                                  92.985;                                   8.576;                                   0.449;
23.05.2016 16:21:50;    3000.000;                                  22.279;                                 856.129;                                 903.067;                                   0.587;                                1168.048;                                   0.998;                                   8.135;                                  91.631;                                   5.611;                                   0.449;
23.05.2016 16:31:50;    3600.000;                                  22.289;                                 856.680;                                 903.424;                                   0.587;                                1167.297;                                   0.998;                                   8.053;                                  90.732;                                   9.147;                                   0.449;
23.05.2016 16:41:50;    4200.000;                                  22.238;                                 855.063;                                 902.744;                                   0.587;                                1169.505;                                   0.998;                                   7.962;                                  89.613;                                   3.653;                                   0.449;
23.05.2016 16:51:50;    4800.000;                                  22.158;                                 854.571;                                 903.602;                                   0.587;                                1170.177;                                   0.998;                                   7.867;                                  88.412;                                   4.335;                                   0.449;
23.05.2016 17:01:50;    5400.000;                                  22.093;                                 852.823;                                 903.028;                                   0.587;                                1172.577;                                   0.998;                                   7.673;                                  86.119;                                   3.253;                                   0.449;
23.05.2016 17:11:50;    6000.000;                                  22.001;                                 851.874;                                 903.650;                                   0.587;                                1173.883;                                   0.998;                                   7.490;                                  83.922;                                   4.813;                                   0.449;
23.05.2016 17:21:50;    6600.000;                                  21.957;                                 851.185;                                 903.622;                                   0.587;                                1174.833;                                   0.998;                                   7.249;                                  81.165;                                   3.608;                                   0.449;
23.05.2016 17:31:50;    7200.000;                                  22.042;                                 852.760;                                 903.808;                                   0.587;                                1172.662;                                   0.998;                                   7.324;                                  82.125;                                   4.136;                                   0.450;
23.05.2016 17:41:50;    7800.000;                                  21.970;                                 851.851;                                 904.072;                                   0.588;                                1173.915;                                   0.998;                                   6.929;                                  77.604;                                   4.291;                                   0.450;
23.05.2016 17:51:50;    8400.000;                                  22.041;                                 852.309;                                 903.367;                                   0.587;                                1173.284;                                   0.998;                                   7.319;                                  82.070;                                   4.550;                                   0.449;
23.05.2016 18:01:50;    9000.000;                                  22.079;                                 851.663;                                 902.058;                                   0.586;                                1174.174;                                   0.998;                                   7.658;                                  85.929;                                   4.973;                                   0.449;
23.05.2016 18:11:50;    9600.000;                                  22.075;                                 852.619;                                 903.039;                                   0.587;                                1172.857;                                   0.998;                                   7.449;                                  83.587;                                   4.556;                                   0.449;
23.05.2016 18:21:50;   10200.000;                                  22.055;                                 852.215;                                 903.028;                                   0.587;                                1173.413;                                   0.998;                                   7.509;                                  84.220;                                   6.706;                                   0.449;
23.05.2016 18:31:50;   10800.000;                                  22.014;                                 851.756;                                 903.279;                                   0.587;                                1174.045;                                   0.998;                                   7.877;                                  88.279;                                  17.199;                                   0.449;
23.05.2016 18:41:50;   11400.000;                                  21.974;                                 851.155;                                 903.389;                                   0.587;                                1174.875;                                   0.998;                                   8.139;                                  91.145;                                   9.944;                                   0.449;
23.05.2016 18:51:50;   12000.000;                                  21.939;                                 850.690;                                 903.511;                                   0.587;                                1175.516;                                   0.998;                                   7.853;                                  87.891;                                   6.252;                                   0.449;
23.05.2016 19:01:50;   12600.000;                                  21.907;                                 849.924;                                 903.294;                                   0.587;                                1176.575;                                   0.998;                                   7.674;                                  85.825;                                  11.504;                                   0.449;
23.05.2016 19:11:50;   13200.000;                                  21.839;                                 848.689;                                 903.211;                                   0.587;                                1178.288;                                   0.998;                                   7.519;                                  83.991;                                   7.839;                                   0.449;
23.05.2016 19:21:50;   13800.000;                                  21.782;                                 846.985;                                 902.544;                                   0.587;                                1180.659;                                   0.998;                                   7.347;                                  81.965;                                  13.655;                                   0.449;
23.05.2016 19:31:50;   14400.000;                                  21.633;                                 844.663;                                 902.737;                                   0.587;                                1183.904;                                   0.998;                                   7.511;                                  83.562;                                  15.238;                                   0.449;
23.05.2016 19:41:50;   15000.000;                                  21.550;                                 842.897;                                 902.385;                                   0.587;                                1186.384;                                   0.998;                                   7.441;                                  82.643;                                  20.168;                                   0.449;
23.05.2016 19:51:50;   15600.000;                                  21.525;                                 842.744;                                 902.685;                                   0.587;                                1186.600;                                   0.998;                                   7.287;                                  80.901;                                  21.970;                                   0.449;
23.05.2016 20:01:50;   16200.000;                                  21.515;                                 842.332;                                 902.426;                                   0.587;                                1187.180;                                   0.998;                                   7.194;                                  79.852;                                  16.820;                                   0.449;
23.05.2016 20:11:50;   16800.000;                                  21.447;                                 841.159;                                 902.419;                                   0.587;                                1188.836;                                   0.998;                                   7.159;                                  79.359;                                  19.289;                                   0.449;
23.05.2016 20:21:50;   17400.000;                                  21.409;                                 840.835;                                 902.684;                                   0.587;                                1189.294;                                   0.998;                                   7.025;                                  77.821;                                  23.960;                                   0.449;
23.05.2016 20:31:50;   18000.000;                                  21.450;                                 841.700;                                 902.976;                                   0.587;                                1188.071;                                   0.998;                                   6.867;                                  76.127;                                  17.335;                                   0.449;
23.05.2016 20:41:50;   18600.000;                                  21.319;                                 838.591;                                 902.053;                                   0.586;                                1192.476;                                   0.998;                                   7.019;                                  77.608;                                  38.401;                                   0.449;
23.05.2016 20:51:50;   19200.000;                                  21.383;                                 841.064;                                 903.465;                                   0.587;                                1188.970;                                   0.998;                                   6.720;                                  74.405;                                  23.035;                                   0.449;
23.05.2016 21:01:50;   19800.000;                                  21.280;                                 839.193;                                 903.351;                                   0.587;                                1191.620;                                   0.998;                                   7.045;                                  77.850;                                  35.555;                                   0.449;
23.05.2016 21:11:50;   20400.000;                                  21.316;                                 840.121;                                 903.714;                                   0.587;                                1190.304;                                   0.998;                                   6.811;                                  75.314;                                  26.663;                                   0.449;
23.05.2016 21:21:50;   21000.000;                                  21.287;                                 839.843;                                 903.953;                                   0.588;                                1190.698;                                   0.998;                                   6.964;                                  76.959;                                  32.266;                                   0.450;
23.05.2016 21:31:50;   21600.000;                                  21.132;                                 837.039;                                 903.792;                                   0.587;                                1194.688;                                   0.998;                                   7.134;                                  78.598;                                  41.811;                                   0.449;
23.05.2016 21:41:50;   22200.000;                                  21.111;                                 836.517;                                 903.632;                                   0.587;                                1195.433;                                   0.998;                                   6.929;                                  76.315;                                  32.563;                                   0.449;
23.05.2016 21:51:50;   22800.000;                                  21.057;                                 836.064;                                 904.152;                                   0.588;                                1196.081;                                   0.998;                                   6.671;                                  73.393;                                  39.634;                                   0.450;
23.05.2016 22:01:50;   23400.000;                                  21.000;                                 833.927;                                 903.028;                                   0.587;                                1199.146;                                   0.998;                                   6.600;                                  72.518;                                  37.192;                                   0.449;
23.05.2016 22:11:50;   24000.000;                                  20.965;                                 834.418;                                 904.042;                                   0.588;                                1198.440;                                   0.998;                                   6.469;                                  71.040;                                  28.783;                                   0.450;
23.05.2016 22:25:12;   24802.000;                                  20.754;                                 829.455;                                 902.638;                                   0.587;                                1205.612;                                   0.998;                                   6.992;                                  76.467;                                  27.410;                                   0.449;
23.05.2016 22:35:12;   25402.000;                                  20.885;                                 829.043;                                 899.758;                                   0.585;                                1206.210;                                   0.998;                                   6.714;                                  73.619;                                  10.248;                                   0.447;
23.05.2016 22:45:12;   26002.000;                                  20.862;                                 825.114;                                 895.909;                                   0.582;                                1211.954;                                   0.998;                                   6.586;                                  72.183;                                   8.562;                                   0.445;
23.05.2016 22:55:12;   26602.000;                                  20.795;                                 822.270;                                 894.086;                                   0.581;                                1216.145;                                   0.998;                                   6.508;                                  71.235;                                   6.376;                                   0.444;
23.05.2016 23:05:12;   27202.000;                                  20.750;                                 821.483;                                 894.068;                                   0.581;                                1217.311;                                   0.998;                                   6.484;                                  70.911;                                   7.579;                                   0.444;
23.05.2016 23:15:12;   27802.000;                                  20.666;                                 817.764;                                 891.640;                                   0.580;                                1222.847;                                   0.998;                                   6.484;                                  70.782;                                   6.267;                                   0.443;
23.05.2016 23:25:12;   28402.000;                                  20.644;                                 819.178;                                 893.524;                                   0.581;                                1220.735;                                   0.998;                                   6.396;                                  69.804;                                   5.312;                                   0.444;
23.05.2016 23:35:12;   29002.000;                                  20.652;                                 820.272;                                 894.552;                                   0.581;                                1219.107;                                   0.998;                                   6.300;                                  68.763;                                   4.992;                                   0.445;
23.05.2016 23:45:12;   29602.000;                                  20.649;                                 821.579;                                 896.023;                                   0.582;                                1217.168;                                   0.998;                                   6.196;                                  67.628;                                   3.927;                                   0.445;
23.05.2016 23:55:12;   30202.000;                                  20.551;                                 817.548;                                 893.515;                                   0.581;                                1223.170;                                   0.998;                                   6.232;                                  67.884;                                   3.313;                                   0.444;
24.05.2016 00:05:12;   30802.000;                                  20.562;                                 820.259;                                 896.200;                                   0.583;                                1219.127;                                   0.998;                                   6.611;                                  72.035;                                   3.305;                                   0.445;
24.05.2016 00:15:12;   31402.000;                                  20.569;                                 820.607;                                 896.474;                                   0.583;                                1218.611;                                   0.998;                                   6.388;                                  69.614;                                   4.309;                                   0.446;
24.05.2016 00:25:12;   32002.000;                                  20.497;                                 818.761;                                 895.811;                                   0.582;                                1221.357;                                   0.998;                                   6.203;                                  67.500;                                   3.971;                                   0.445;
24.05.2016 00:35:12;   32602.000;                                  20.464;                                 818.383;                                 896.011;                                   0.582;                                1221.921;                                   0.998;                                   6.056;                                  65.861;                                   4.102;                                   0.445;
24.05.2016 00:45:12;   33202.000;                                  20.421;                                 817.574;                                 895.938;                                   0.582;                                1223.131;                                   0.998;                                   6.034;                                  65.556;                                   3.676;                                   0.445;
24.05.2016 00:55:12;   33802.000;                                  20.337;                                 815.769;                                 895.570;                                   0.582;                                1225.838;                                   0.998;                                   6.204;                                  67.288;                                   4.582;                                   0.445;
24.05.2016 01:05:12;   34402.000;                                  20.391;                                 818.796;                                 897.801;                                   0.584;                                1221.306;                                   0.998;                                   6.508;                                  70.669;                                   6.530;                                   0.446;
24.05.2016 01:15:12;   35002.000;                                  20.380;                                 817.203;                                 896.336;                                   0.583;                                1223.686;                                   0.998;                                   6.220;                                  67.519;                                   2.421;                                   0.446;
24.05.2016 01:25:12;   35602.000;                                  20.352;                                 817.894;                                 897.585;                                   0.583;                                1222.652;                                   0.998;                                   6.179;                                  67.042;                                   3.379;                                   0.446;
24.05.2016 01:35:12;   36202.000;                                  20.326;                                 817.152;                                 897.241;                                   0.583;                                1223.762;                                   0.998;                                   6.292;                                  68.234;                                   2.815;                                   0.446;
24.05.2016 01:45:12;   36802.000;                                  20.337;                                 819.796;                                 899.786;                                   0.585;                                1219.816;                                   0.998;                                   6.403;                                  69.463;                                   2.564;                                   0.447;
24.05.2016 01:55:12;   37402.000;                                  20.425;                                 821.208;                                 899.777;                                   0.585;                                1217.718;                                   0.998;                                   6.506;                                  70.699;                                   3.414;                                   0.447;
24.05.2016 02:05:12;   38002.000;                                  20.475;                                 821.424;                                 899.098;                                   0.584;                                1217.397;                                   0.998;                                   6.475;                                  70.433;                                   3.814;                                   0.447;
24.05.2016 02:15:12;   38602.000;                                  20.466;                                 820.690;                                 898.475;                                   0.584;                                1218.487;                                   0.998;                                   6.471;                                  70.377;                                   2.997;                                   0.447;
24.05.2016 02:25:12;   39202.000;                                  20.417;                                 819.127;                                 897.714;                                   0.584;                                1220.812;                                   0.998;                                   6.350;                                  68.992;                                   2.631;                                   0.446;
24.05.2016 02:35:12;   39802.000;                                  20.372;                                 818.340;                                 897.689;                                   0.583;                                1221.986;                                   0.998;                                   6.480;                                  70.344;                                   2.566;                                   0.446;
24.05.2016 02:45:12;   40402.000;                                  20.361;                                 818.598;                                 898.177;                                   0.584;                                1221.600;                                   0.998;                                   6.536;                                  70.935;                                   2.334;                                   0.446;
24.05.2016 02:55:12;   41002.000;                                  20.355;                                 818.420;                                 898.111;                                   0.584;                                1221.866;                                   0.998;                                   6.460;                                  70.095;                                   2.188;                                   0.446;
24.05.2016 03:05:12;   41602.000;                                  20.340;                                 818.058;                                 898.003;                                   0.584;                                1222.407;                                   0.998;                                   6.359;                                  68.985;                                   2.109;                                   0.446;
24.05.2016 03:15:12;   42202.000;                                  20.307;                                 818.802;                                 899.441;                                   0.585;                                1221.297;                                   0.998;                                   6.092;                                  66.044;                                   2.489;                                   0.447;
24.05.2016 03:25:12;   42802.000;                                  20.276;                                 818.747;                                 899.942;                                   0.585;                                1221.379;                                   0.998;                                   5.828;                                  63.147;                                   2.788;                                   0.447;
24.05.2016 03:35:12;   43402.000;                                  20.247;                                 818.340;                                 900.063;                                   0.585;                                1221.986;                                   0.998;                                   5.763;                                  62.401;                                   5.665;                                   0.447;
24.05.2016 03:45:12;   44002.000;                                  20.207;                                 817.109;                                 899.422;                                   0.585;                                1223.827;                                   0.999;                                   5.600;                                  60.596;                                   2.052;                                   0.447;
24.05.2016 03:55:12;   44602.000;                                  20.168;                                 816.612;                                 899.648;                                   0.585;                                1224.571;                                   0.999;                                   5.594;                                  60.481;                                   2.244;                                   0.447;
24.05.2016 04:05:12;   45202.000;                                  20.143;                                 816.705;                                 900.215;                                   0.585;                                1224.433;                                   0.999;                                   5.580;                                  60.294;                                   2.135;                                   0.447;
24.05.2016 04:15:12;   45802.000;                                  20.126;                                 816.102;                                 899.879;                                   0.585;                                1225.337;                                   0.999;                                   5.462;                                  59.003;                                   2.214;                                   0.447;
24.05.2016 04:25:12;   46402.000;                                  20.097;                                 817.047;                                 901.450;                                   0.586;                                1223.920;                                   0.999;                                   5.128;                                  55.359;                                  24.760;                                   0.448;
24.05.2016 04:35:12;   47002.000;                                  20.084;                                 816.757;                                 901.390;                                   0.586;                                1224.355;                                   0.999;                                   5.175;                                  55.858;                                   8.133;                                   0.448;
24.05.2016 04:45:12;   47602.000;                                  20.074;                                 816.215;                                 900.981;                                   0.586;                                1225.168;                                   0.999;                                   5.832;                                  62.930;                                   6.121;                                   0.448;
24.05.2016 04:55:12;   48202.000;                                  20.103;                                 816.906;                                 901.197;                                   0.586;                                1224.131;                                   0.999;                                   6.215;                                  67.107;                                   3.084;                                   0.448;
24.05.2016 05:05:12;   48802.000;                                  20.157;                                 818.213;                                 901.595;                                   0.586;                                1222.176;                                   0.999;                                   6.599;                                  71.331;                                   3.699;                                   0.448;
24.05.2016 05:15:12;   49402.000;                                  20.173;                                 818.462;                                 901.569;                                   0.586;                                1221.804;                                   0.999;                                   6.870;                                  74.276;                                   3.057;                                   0.448;
24.05.2016 05:25:12;   50002.000;                                  20.210;                                 819.250;                                 901.734;                                   0.586;                                1220.629;                                   0.999;                                   6.950;                                  75.206;                                   3.253;                                   0.448;
24.05.2016 05:35:12;   50602.000;                                  20.209;                                 818.854;                                 901.297;                                   0.586;                                1221.219;                                   0.999;                                   6.900;                                  74.660;                                   4.289;                                   0.448;
24.05.2016 05:45:12;   51202.000;                                  20.194;                                 818.536;                                 901.251;                                   0.586;                                1221.693;                                   0.999;                                   6.870;                                  74.315;                                   4.789;                                   0.448;
24.05.2016 05:55:12;   51802.000;                                  20.161;                                 817.575;                                 900.849;                                   0.586;                                1223.130;                                   0.999;                                   6.737;                                  72.819;                                   3.172;                                   0.448;
24.05.2016 06:05:12;   52402.000;                                  20.067;                                 815.914;                                 900.822;                                   0.586;                                1225.620;                                   0.999;                                   6.643;                                  71.673;                                   5.304;                                   0.448;
24.05.2016 06:15:12;   53002.000;                                  20.052;                                 816.345;                                 901.527;                                   0.586;                                1224.973;                                   0.999;                                   6.843;                                  73.808;                                   5.278;                                   0.448;
24.05.2016 06:25:12;   53602.000;                                  20.071;                                 816.395;                                 901.250;                                   0.586;                                1224.897;                                   0.999;                                   6.851;                                  73.923;                                   6.908;                                   0.448;
24.05.2016 06:35:12;   54202.000;                                  20.044;                                 815.819;                                 901.120;                                   0.586;                                1225.762;                                   0.999;                                   6.916;                                  74.585;                                   4.044;                                   0.448;
24.05.2016 06:45:12;   54802.000;                                  20.071;                                 816.715;                                 901.592;                                   0.586;                                1224.418;                                   0.999;                                   7.112;                                  76.745;                                   2.446;                                   0.448;
24.05.2016 06:55:12;   55402.000;                                  20.155;                                 818.275;                                 901.699;                                   0.586;                                1222.083;                                   0.999;                                   7.227;                                  78.117;                                   2.758;                                   0.448;
24.05.2016 07:05:12;   56002.000;                                  20.215;                                 819.138;                                 901.515;                                   0.586;                                1220.795;                                   0.999;                                   7.420;                                  80.292;                                   2.567;                                   0.448;
24.05.2016 07:15:12;   56602.000;                                  20.249;                                 819.755;                                 901.556;                                   0.586;                                1219.876;                                   0.998;                                   7.511;                                  81.329;                                   2.555;                                   0.448;
24.05.2016 07:25:12;   57202.000;                                  20.281;                                 820.224;                                 901.468;                                   0.586;                                1219.180;                                   0.998;                                   7.482;                                  81.070;                                   2.850;                                   0.448;
24.05.2016 07:35:12;   57802.000;                                  20.287;                                 819.954;                                 901.064;                                   0.586;                                1219.580;                                   0.998;                                   7.409;                                  80.286;                                   2.418;                                   0.448;
24.05.2016 07:45:12;   58402.000;                                  20.300;                                 820.468;                                 901.340;                                   0.586;                                1218.817;                                   0.998;                                   7.295;                                  79.079;                                   2.261;                                   0.448;
24.05.2016 07:55:12;   59002.000;                                  20.301;                                 820.278;                                 901.130;                                   0.586;                                1219.099;                                   0.998;                                   7.481;                                  81.091;                                   3.812;                                   0.448;
24.05.2016 08:05:12;   59602.000;                                  20.308;                                 820.498;                                 901.230;                                   0.586;                                1218.772;                                   0.998;                                   7.320;                                  79.362;                                   2.226;                                   0.448;
24.05.2016 08:15:12;   60202.000;                                  20.342;                                 821.152;                                 901.320;                                   0.586;                                1217.802;                                   0.998;                                   7.787;                                  84.478;                                   2.451;                                   0.448;
24.05.2016 08:25:12;   60802.000;                                  20.345;                                 820.872;                                 900.984;                                   0.586;                                1218.217;                                   0.998;                                   7.554;                                  81.947;                                   2.573;                                   0.448;
24.05.2016 08:35:12;   61402.000;                                  20.321;                                 820.331;                                 900.843;                                   0.586;                                1219.019;                                   0.998;                                   7.711;                                  83.617;                                   6.322;                                   0.448;
24.05.2016 08:45:12;   62002.000;                                  20.271;                                 819.417;                                 900.792;                                   0.586;                                1220.380;                                   0.998;                                   7.855;                                  85.096;                                   3.978;                                   0.448;
24.05.2016 08:55:12;   62602.000;                                  20.271;                                 819.515;                                 900.850;                                   0.586;                                1220.234;                                   0.998;                                   7.745;                                  83.902;                                   4.548;                                   0.448;
24.05.2016 09:05:12;   63202.000;                                  20.264;                                 819.174;                                 900.621;                                   0.585;                                1220.741;                                   0.998;                                   7.748;                                  83.922;                                   3.943;                                   0.448;
24.05.2016 09:15:12;   63802.000;                                  20.246;                                 818.957;                                 900.731;                                   0.585;                                1221.065;                                   0.998;                                   7.747;                                  83.879;                                   4.304;                                   0.448;
24.05.2016 09:25:12;   64402.000;                                  20.205;                                 818.080;                                 900.554;                                   0.585;                                1222.374;                                   0.999;                                   7.807;                                  84.466;                                  15.764;                                   0.448;
24.05.2016 09:35:12;   65002.000;                                  20.253;                                 819.136;                                 900.757;                                   0.585;                                1220.798;                                   0.998;                                   7.743;                                  83.854;                                   3.884;                                   0.448;
24.05.2016 09:45:12;   65602.000;                                  20.294;                                 819.788;                                 900.716;                                   0.585;                                1219.828;                                   0.998;                                   7.733;                                  83.817;                                   4.205;                                   0.448;
24.05.2016 09:55:12;   66202.000;                                  20.307;                                 819.827;                                 900.511;                                   0.585;                                1219.769;                                   0.998;                                   7.765;                                  84.180;                                   3.935;                                   0.448;
24.05.2016 10:05:12;   66802.000;                                  20.348;                                 820.809;                                 900.807;                                   0.586;                                1218.310;                                   0.998;                                   7.728;                                  83.854;                                   6.532;                                   0.448;
24.05.2016 10:15:12;   67402.000;                                  20.378;                                 821.201;                                 900.680;                                   0.585;                                1217.728;                                   0.998;                                   7.719;                                  83.797;                                   3.894;                                   0.448;
24.05.2016 10:25:12;   68002.000;                                  20.447;                                 822.357;                                 900.685;                                   0.585;                                1216.017;                                   0.998;                                   7.696;                                  83.656;                                   2.757;                                   0.448;
24.05.2016 10:35:12;   68602.000;                                  20.491;                                 823.212;                                 900.793;                                   0.586;                                1214.754;                                   0.998;                                   7.657;                                  83.306;                                   2.756;                                   0.448;
24.05.2016 10:45:12;   69202.000;                                  20.487;                                 823.071;                                 900.703;                                   0.585;                                1214.962;                                   0.998;                                   7.686;                                  83.622;                                   2.817;                                   0.448;
24.05.2016 10:55:12;   69802.000;                                  20.506;                                 823.279;                                 900.595;                                   0.585;                                1214.654;                                   0.998;                                   7.655;                                  83.317;                                  35.256;                                   0.448;
24.05.2016 11:05:12;   70402.000;                                  20.473;                                 823.256;                                 901.188;                                   0.586;                                1214.689;                                   0.998;                                   7.403;                                  80.512;                                  20.148;                                   0.448;
24.05.2016 11:15:12;   71002.000;                                  20.455;                                 823.156;                                 901.431;                                   0.586;                                1214.837;                                   0.998;                                   7.401;                                  80.465;                                  12.856;                                   0.448;
24.05.2016 11:25:12;   71602.000;                                  20.430;                                 822.123;                                 900.734;                                   0.585;                                1216.363;                                   0.998;                                   7.694;                                  83.615;                                  13.918;                                   0.448;
24.05.2016 11:35:12;   72202.000;                                  20.435;                                 822.345;                                 900.877;                                   0.586;                                1216.035;                                   0.998;                                   7.666;                                  83.315;                                   8.390;                                   0.448;
24.05.2016 11:45:12;   72802.000;                                  20.424;                                 822.353;                                 901.113;                                   0.586;                                1216.022;                                   0.998;                                   7.510;                                  81.607;                                   9.026;                                   0.448;
24.05.2016 11:55:12;   73402.000;                                  20.442;                                 822.849;                                 901.306;                                   0.586;                                1215.290;                                   0.998;                                   7.458;                                  81.063;                                  12.504;                                   0.448;
24.05.2016 12:05:12;   74002.000;                                  20.463;                                 823.665;                                 901.793;                                   0.586;                                1214.085;                                   0.998;                                   7.250;                                  78.845;                                   9.101;                                   0.448;

